DATE,TempF,humid
5/1/2017 0:15,68,69
5/1/2017 0:35,68,69
5/1/2017 0:55,67,74
5/1/2017 1:15,67,74
5/1/2017 1:35,69,78
5/1/2017 1:55,68,83
5/1/2017 2:15,68,83
5/1/2017 2:35,68,83
5/1/2017 2:55,68,83
5/1/2017 3:15,68,83
5/1/2017 3:35,68,83
5/1/2017 3:55,68,83
5/1/2017 4:15,68,83
5/1/2017 4:35,67,88
5/1/2017 4:55,67,88
5/1/2017 5:15,67,88
5/1/2017 5:35,67,88
5/1/2017 5:55,68,83
5/1/2017 6:15,68,83
5/1/2017 6:35,68,83
5/1/2017 6:55,68,83
5/1/2017 7:15,69,78
5/1/2017 7:35,69,78
5/1/2017 7:55,69,74
5/1/2017 8:15,69,74
5/1/2017 8:35,69,74
5/1/2017 8:55,70,69
5/1/2017 9:15,71,65
5/1/2017 9:35,71,65
5/1/2017 9:55,71,65
5/1/2017 10:15,71,62
5/1/2017 10:35,71,62
5/1/2017 10:55,71,58
5/1/2017 11:15,71,58
5/1/2017 11:35,71,58
5/1/2017 11:55,71,51
5/1/2017 12:15,71,51
5/1/2017 12:35,71,51
5/1/2017 12:55,72,49
5/1/2017 13:15,71,51
5/1/2017 13:35,73,49
5/1/2017 13:55,72,49
5/1/2017 14:15,71,46
5/1/2017 14:35,72,49
5/1/2017 14:55,72,49
5/1/2017 15:15,72,49
5/1/2017 15:35,72,49
5/1/2017 15:55,71,46
5/1/2017 16:15,71,51
5/1/2017 16:35,71,51
5/1/2017 16:55,72,49
5/1/2017 17:15,71,51
5/1/2017 17:35,70,48
5/1/2017 17:55,69,45
5/1/2017 18:15,70,51
5/1/2017 18:35,70,55
5/1/2017 18:55,70,55
5/1/2017 19:15,70,58
5/1/2017 19:35,69,54
5/1/2017 19:55,70,58
5/1/2017 20:15,71,65
5/1/2017 20:35,70,65
5/1/2017 20:55,70,65
5/1/2017 21:15,71,65
5/1/2017 21:35,70,65
5/1/2017 21:55,70,69
5/1/2017 22:15,70,69
5/1/2017 22:35,70,69
5/1/2017 22:55,69,74
5/1/2017 23:15,69,74
5/1/2017 23:35,69,74
5/1/2017 23:55,69,74
5/2/2017 0:15,69,74
5/2/2017 0:35,70,83
5/2/2017 0:55,71,89
5/2/2017 1:15,71,89
5/2/2017 1:35,71,89
5/2/2017 1:55,71,89
5/2/2017 2:15,71,89
5/2/2017 2:35,71,89
5/2/2017 2:55,70,83
5/2/2017 3:15,69,78
5/2/2017 3:35,67,74
5/2/2017 3:55,67,78
5/2/2017 4:15,67,78
5/2/2017 4:35,67,78
5/2/2017 4:55,66,83
5/2/2017 5:15,66,78
5/2/2017 5:35,66,78
5/2/2017 5:55,66,78
5/2/2017 6:15,66,78
5/2/2017 6:35,66,78
5/2/2017 6:55,66,78
5/2/2017 7:15,64,73
5/2/2017 7:35,64,73
5/2/2017 7:55,64,73
5/2/2017 8:15,64,65
5/2/2017 8:35,64,65
5/2/2017 8:55,63,61
5/2/2017 9:15,63,57
5/2/2017 9:35,62,53
5/2/2017 9:55,62,53
5/2/2017 10:15,63,47
5/2/2017 10:35,63,47
5/2/2017 10:55,61,41
5/2/2017 11:15,61,41
5/2/2017 11:35,62,42
5/2/2017 11:55,61,36
5/2/2017 12:15,62,37
5/2/2017 12:35,61,36
5/2/2017 12:55,60,32
5/2/2017 13:15,60,32
5/2/2017 13:35,60,30
5/2/2017 13:55,60,32
5/2/2017 14:15,60,32
5/2/2017 14:35,61,30
5/2/2017 14:55,61,30
5/2/2017 15:15,60,32
5/2/2017 15:35,62,32
5/2/2017 15:55,60,32
5/2/2017 16:15,60,32
5/2/2017 16:35,60,32
5/2/2017 16:55,60,32
5/2/2017 17:15,60,32
5/2/2017 17:35,60,34
5/2/2017 17:55,59,36
5/2/2017 18:15,59,36
